Subgroup,Phase,Time Period,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
Connecticut,1,6,2020-06-04,2020-06-09,48.1,42.3,53.8
Delaware,1,6,2020-06-04,2020-06-09,50.4,44.6,56.2
District of Columbia,1,6,2020-06-04,2020-06-09,49.5,40.6,58.4
Florida,1,6,2020-06-04,2020-06-09,46.5,42.5,50.5
Georgia,1,6,2020-06-04,2020-06-09,42.3,38.7,45.9
Hawaii,1,6,2020-06-04,2020-06-09,35.5,30.1,41.3
Idaho,1,6,2020-06-04,2020-06-09,42.0,36.1,48.1
Illinois,1,6,2020-06-04,2020-06-09,50.4,45.7,55.2
Indiana,1,6,2020-06-04,2020-06-09,46.7,41.2,52.3
Iowa,1,6,2020-06-04,2020-06-09,42.3,37.4,47.2
Kansas,1,6,2020-06-04,2020-06-09,38.4,34.0,43.0
Kentucky,1,6,2020-06-04,2020-06-09,48.2,43.1,53.3
Louisiana,1,6,2020-06-04,2020-06-09,43.1,38.4,48.0
Maine,1,6,2020-06-04,2020-06-09,48.4,42.1,54.7
Maryland,1,6,2020-06-04,2020-06-09,41.7,36.4,47.2
Massachusetts,1,6,2020-06-04,2020-06-09,43.6,39.2,48.0
Michigan,1,6,2020-06-04,2020-06-09,46.6,42.8,50.5
Minnesota,1,6,2020-06-04,2020-06-09,45.2,40.6,49.9
Mississippi,1,6,2020-06-04,2020-06-09,43.2,37.1,49.6
Missouri,1,6,2020-06-04,2020-06-09,41.2,36.5,46.0
Montana,1,6,2020-06-04,2020-06-09,44.8,40.6,49.2
Nebraska,1,6,2020-06-04,2020-06-09,34.9,30.2,39.8
Nevada,1,6,2020-06-04,2020-06-09,39.1,34.2,44.2
New Hampshire,1,6,2020-06-04,2020-06-09,39.9,35.3,44.7
New Jersey,1,6,2020-06-04,2020-06-09,51.0,45.6,56.3
New Mexico,1,6,2020-06-04,2020-06-09,43.6,39.4,47.8
New York,1,6,2020-06-04,2020-06-09,44.9,40.6,49.2
North Carolina,1,6,2020-06-04,2020-06-09,38.9,34.5,43.4
North Dakota,1,6,2020-06-04,2020-06-09,32.3,26.5,38.6
Ohio,1,6,2020-06-04,2020-06-09,46.1,40.0,52.4
Oklahoma,1,6,2020-06-04,2020-06-09,39.6,35.1,44.3
Oregon,1,6,2020-06-04,2020-06-09,49.7,46.1,53.2
Pennsylvania,1,6,2020-06-04,2020-06-09,44.6,38.8,50.6
Rhode Island,1,6,2020-06-04,2020-06-09,41.6,35.6,47.8
South Carolina,1,6,2020-06-04,2020-06-09,40.1,35.5,44.8
South Dakota,1,6,2020-06-04,2020-06-09,41.1,34.5,48.0
Tennessee,1,6,2020-06-04,2020-06-09,43.3,38.9,47.8
Texas,1,6,2020-06-04,2020-06-09,44.2,41.1,47.3
Utah,1,6,2020-06-04,2020-06-09,38.4,34.4,42.5
Vermont,1,6,2020-06-04,2020-06-09,48.0,40.8,55.3
Virginia,1,6,2020-06-04,2020-06-09,41.4,36.5,46.4
Washington,1,6,2020-06-04,2020-06-09,45.8,41.8,49.9
West Virginia,1,6,2020-06-04,2020-06-09,42.1,35.1,49.4
Wisconsin,1,6,2020-06-04,2020-06-09,42.1,37.6,46.6
Wyoming,1,6,2020-06-04,2020-06-09,36.9,30.8,43.3
United States,1,7,2020-06-11,2020-06-16,44.9,44.1,45.8
18 - 29 years,1,7,2020-06-11,2020-06-16,40.9,38.8,42.9
30 - 39 years,1,7,2020-06-11,2020-06-16,45.6,43.3,47.9
40 - 49 years,1,7,2020-06-11,2020-06-16,47.1,45.3,49.0
50 - 59 years,1,7,2020-06-11,2020-06-16,47.1,45.1,49.2
60 - 69 years,1,7,2020-06-11,2020-06-16,46.5,44.2,48.9
70 - 79 years,1,7,2020-06-11,2020-06-16,40.7,37.8,43.7
80 years and above,1,7,2020-06-11,2020-06-16,41.2,35.4,47.2
Male,1,7,2020-06-11,2020-06-16,41.0,39.7,42.4
Female,1,7,2020-06-11,2020-06-16,48.6,47.5,49.6
Hispanic or Latino,1,7,2020-06-11,2020-06-16,42.3,39.9,44.7
"Non-Hispanic White, single race",1,7,2020-06-11,2020-06-16,45.7,44.7,46.7
"Non-Hispanic Black, single race",1,7,2020-06-11,2020-06-16,43.5,40.8,46.3
"Non-Hispanic Asian, single race",1,7,2020-06-11,2020-06-16,40.2,36.3,44.3
"Non-Hispanic, other races and multiple races",1,7,2020-06-11,2020-06-16,53.5,49.6,57.4
Less than a high school diploma,1,7,2020-06-11,2020-06-16,34.1,30.4,37.8
High school diploma or GED,1,7,2020-06-11,2020-06-16,39.9,38.1,41.6
Some college/Associate's degree,1,7,2020-06-11,2020-06-16,49.2,47.5,50.8
Bachelor's degree or higher,1,7,2020-06-11,2020-06-16,48.4,47.1,49.7
Alabama,1,7,2020-06-11,2020-06-16,41.9,35.0,49.0
Alaska,1,7,2020-06-11,2020-06-16,54.6,48.7,60.4
Arizona,1,7,2020-06-11,2020-06-16,45.9,40.7,51.2
Arkansas,1,7,2020-06-11,2020-06-16,51.2,43.7,58.7
California,1,7,2020-06-11,2020-06-16,44.8,41.3,48.3
Colorado,1,7,2020-06-11,2020-06-16,39.0,34.7,43.5
Connecticut,1,7,2020-06-11,2020-06-16,52.5,45.9,59.0
Delaware,1,7,2020-06-11,2020-06-16,52.3,47.2,57.3
District of Columbia,1,7,2020-06-11,2020-06-16,51.6,43.3,59.8
Florida,1,7,2020-06-11,2020-06-16,47.3,42.6,51.9
Georgia,1,7,2020-06-11,2020-06-16,42.8,38.3,47.4
Hawaii,1,7,2020-06-11,2020-06-16,42.0,36.7,47.5
Idaho,1,7,2020-06-11,2020-06-16,40.9,35.3,46.7
Illinois,1,7,2020-06-11,2020-06-16,48.8,44.5,53.2
Indiana,1,7,2020-06-11,2020-06-16,43.8,37.4,50.4
Iowa,1,7,2020-06-11,2020-06-16,40.9,36.3,45.7
Kansas,1,7,2020-06-11,2020-06-16,45.7,39.9,51.7
Kentucky,1,7,2020-06-11,2020-06-16,43.4,38.6,48.2
Louisiana,1,7,2020-06-11,2020-06-16,40.9,34.7,47.3
Maine,1,7,2020-06-11,2020-06-16,54.3,48.7,59.8
Maryland,1,7,2020-06-11,2020-06-16,41.0,36.4,45.7
Massachusetts,1,7,2020-06-11,2020-06-16,45.3,41.2,49.5
Michigan,1,7,2020-06-11,2020-06-16,51.1,47.4,54.8
Minnesota,1,7,2020-06-11,2020-06-16,42.9,37.5,48.5
Mississippi,1,7,2020-06-11,2020-06-16,42.7,36.3,49.4
Missouri,1,7,2020-06-11,2020-06-16,39.7,36.0,43.5
Montana,1,7,2020-06-11,2020-06-16,46.1,39.9,52.3
Nebraska,1,7,2020-06-11,2020-06-16,40.3,34.4,46.4
Nevada,1,7,2020-06-11,2020-06-16,44.0,38.4,49.7
New Hampshire,1,7,2020-06-11,2020-06-16,49.3,43.0,55.6
New Jersey,1,7,2020-06-11,2020-06-16,49.6,44.1,55.0
New Mexico,1,7,2020-06-11,2020-06-16,42.9,37.0,49.0
New York,1,7,2020-06-11,2020-06-16,42.2,37.3,47.1
North Carolina,1,7,2020-06-11,2020-06-16,42.0,37.0,47.1
North Dakota,1,7,2020-06-11,2020-06-16,38.4,31.4,45.7
Ohio,1,7,2020-06-11,2020-06-16,41.1,36.3,46.1
Oklahoma,1,7,2020-06-11,2020-06-16,42.6,36.9,48.4
Oregon,1,7,2020-06-11,2020-06-16,48.2,43.8,52.5
Pennsylvania,1,7,2020-06-11,2020-06-16,49.4,44.2,54.6
Rhode Island,1,7,2020-06-11,2020-06-16,41.8,35.1,48.6
South Carolina,1,7,2020-06-11,2020-06-16,43.9,37.8,50.2
South Dakota,1,7,2020-06-11,2020-06-16,38.7,31.1,46.7
Tennessee,1,7,2020-06-11,2020-06-16,43.6,37.5,49.9
Texas,1,7,2020-06-11,2020-06-16,42.8,38.6,47.1
Utah,1,7,2020-06-11,2020-06-16,40.9,35.5,46.4
Vermont,1,7,2020-06-11,2020-06-16,45.6,38.8,52.4
Virginia,1,7,2020-06-11,2020-06-16,45.0,39.8,50.4
Washington,1,7,2020-06-11,2020-06-16,50.8,46.7,54.9
West Virginia,1,7,2020-06-11,2020-06-16,51.9,44.7,59.0
Wisconsin,1,7,2020-06-11,2020-06-16,50.0,44.9,55.2
Wyoming,1,7,2020-06-11,2020-06-16,51.3,42.7,59.8
United States,1,8,2020-06-18,2020-06-23,45.5,44.6,46.4
18 - 29 years,1,8,2020-06-18,2020-06-23,41.8,39.9,43.7
30 - 39 years,1,8,2020-06-18,2020-06-23,46.4,44.7,48.2
40 - 49 years,1,8,2020-06-18,2020-06-23,47.8,45.9,49.7
50 - 59 years,1,8,2020-06-18,2020-06-23,50.2,48.4,52.1
60 - 69 years,1,8,2020-06-18,2020-06-23,44.8,42.9,46.7
70 - 79 years,1,8,2020-06-18,2020-06-23,41.0,38.1,44.0
80 years and above,1,8,2020-06-18,2020-06-23,37.3,32.0,42.9
Male,1,8,2020-06-18,2020-06-23,42.2,40.8,43.6
Female,1,8,2020-06-18,2020-06-23,48.6,47.4,49.8
Hispanic or Latino,1,8,2020-06-18,2020-06-23,46.8,44.6,49.0
"Non-Hispanic White, single race",1,8,2020-06-18,2020-06-23,45.5,44.3,46.6
"Non-Hispanic Black, single race",1,8,2020-06-18,2020-06-23,43.8,41.6,45.9
"Non-Hispanic Asian, single race",1,8,2020-06-18,2020-06-23,40.4,37.2,43.8
"Non-Hispanic, other races and multiple races",1,8,2020-06-18,2020-06-23,51.9,48.0,55.8
Less than a high school diploma,1,8,2020-06-18,2020-06-23,42.8,39.2,46.5
High school diploma or GED,1,8,2020-06-18,2020-06-23,41.9,40.0,43.9
Some college/Associate's degree,1,8,2020-06-18,2020-06-23,48.8,47.5,50.0
Bachelor's degree or higher,1,8,2020-06-18,2020-06-23,46.4,45.2,47.5
Alabama,1,8,2020-06-18,2020-06-23,42.6,37.2,48.1
Alaska,1,8,2020-06-18,2020-06-23,50.4,45.8,55.0
Arizona,1,8,2020-06-18,2020-06-23,43.4,39.8,47.0
Arkansas,1,8,2020-06-18,2020-06-23,43.0,37.8,48.3
California,1,8,2020-06-18,2020-06-23,49.2,45.9,52.6
Colorado,1,8,2020-06-18,2020-06-23,45.6,41.1,50.1
Connecticut,1,8,2020-06-18,2020-06-23,44.7,39.2,50.3
Delaware,1,8,2020-06-18,2020-06-23,44.6,39.6,49.7
District of Columbia,1,8,2020-06-18,2020-06-23,51.2,45.0,57.3
Florida,1,8,2020-06-18,2020-06-23,46.8,43.6,50.1
Georgia,1,8,2020-06-18,2020-06-23,42.7,39.2,46.3
Hawaii,1,8,2020-06-18,2020-06-23,38.6,34.3,43.1
Idaho,1,8,2020-06-18,2020-06-23,40.2,35.0,45.6
Illinois,1,8,2020-06-18,2020-06-23,46.2,41.5,51.0
Indiana,1,8,2020-06-18,2020-06-23,48.2,42.6,53.9
Iowa,1,8,2020-06-18,2020-06-23,42.7,37.4,48.0
Kansas,1,8,2020-06-18,2020-06-23,43.9,38.7,49.3
Kentucky,1,8,2020-06-18,2020-06-23,41.6,36.7,46.7
Louisiana,1,8,2020-06-18,2020-06-23,48.0,41.9,54.0
Maine,1,8,2020-06-18,2020-06-23,42.0,36.9,47.2
Maryland,1,8,2020-06-18,2020-06-23,45.5,40.7,50.4
Massachusetts,1,8,2020-06-18,2020-06-23,45.2,41.3,49.0
Michigan,1,8,2020-06-18,2020-06-23,46.2,41.6,50.8
Minnesota,1,8,2020-06-18,2020-06-23,42.0,36.8,47.2
Mississippi,1,8,2020-06-18,2020-06-23,48.8,42.4,55.2
Missouri,1,8,2020-06-18,2020-06-23,42.4,38.0,46.8
Montana,1,8,2020-06-18,2020-06-23,42.7,37.8,47.8
Nebraska,1,8,2020-06-18,2020-06-23,39.5,33.9,45.4
Nevada,1,8,2020-06-18,2020-06-23,44.1,39.2,49.1
New Hampshire,1,8,2020-06-18,2020-06-23,48.8,43.4,54.2
New Jersey,1,8,2020-06-18,2020-06-23,49.1,44.3,53.9
New Mexico,1,8,2020-06-18,2020-06-23,51.8,46.4,57.2
New York,1,8,2020-06-18,2020-06-23,47.8,43.6,52.0
North Carolina,1,8,2020-06-18,2020-06-23,41.4,36.4,46.4
North Dakota,1,8,2020-06-18,2020-06-23,45.7,39.0,52.4
Ohio,1,8,2020-06-18,2020-06-23,41.9,37.4,46.5
Oklahoma,1,8,2020-06-18,2020-06-23,46.4,41.4,51.4
Oregon,1,8,2020-06-18,2020-06-23,48.3,43.3,53.4
Pennsylvania,1,8,2020-06-18,2020-06-23,48.1,43.2,53.0
Rhode Island,1,8,2020-06-18,2020-06-23,36.7,31.2,42.4
South Carolina,1,8,2020-06-18,2020-06-23,34.5,28.8,40.7
South Dakota,1,8,2020-06-18,2020-06-23,38.0,33.1,43.1
Tennessee,1,8,2020-06-18,2020-06-23,39.2,34.5,44.0
Texas,1,8,2020-06-18,2020-06-23,43.4,40.4,46.4
Utah,1,8,2020-06-18,2020-06-23,42.3,38.4,46.3
Vermont,1,8,2020-06-18,2020-06-23,49.0,43.1,54.8
Virginia,1,8,2020-06-18,2020-06-23,48.7,42.6,54.8
Washington,1,8,2020-06-18,2020-06-23,51.4,46.8,56.0
West Virginia,1,8,2020-06-18,2020-06-23,43.0,37.6,48.5
Wisconsin,1,8,2020-06-18,2020-06-23,46.5,41.1,52.0
Wyoming,1,8,2020-06-18,2020-06-23,37.8,31.9,44.0
United States,1,9,2020-06-25,2020-06-30,45.7,45.0,46.4
18 - 29 years,1,9,2020-06-25,2020-06-30,42.2,40.0,44.4
30 - 39 years,1,9,2020-06-25,2020-06-30,47.1,45.3,48.9
40 - 49 years,1,9,2020-06-25,2020-06-30,48.7,47.0,50.5
50 - 59 years,1,9,2020-06-25,2020-06-30,49.4,47.7,51.0
60 - 69 years,1,9,2020-06-25,2020-06-30,45.5,43.8,47.3
70 - 79 years,1,9,2020-06-25,2020-06-30,40.8,38.4,43.2
80 years and above,1,9,2020-06-25,2020-06-30,34.6,29.1,40.4
Male,1,9,2020-06-25,2020-06-30,41.9,40.9,43.0
Female,1,9,2020-06-25,2020-06-30,49.2,48.2,50.1
Hispanic or Latino,1,9,2020-06-25,2020-06-30,44.4,42.1,46.8
"Non-Hispanic White, single race",1,9,2020-06-25,2020-06-30,45.9,45.1,46.8
"Non-Hispanic Black, single race",1,9,2020-06-25,2020-06-30,44.2,41.4,47.0
"Non-Hispanic Asian, single race",1,9,2020-06-25,2020-06-30,40.9,37.3,44.5
"Non-Hispanic, other races and multiple races",1,9,2020-06-25,2020-06-30,56.6,53.2,60.0
Less than a high school diploma,1,9,2020-06-25,2020-06-30,45.8,42.1,49.6
High school diploma or GED,1,9,2020-06-25,2020-06-30,42.2,40.5,43.9
Some college/Associate's degree,1,9,2020-06-25,2020-06-30,47.8,46.5,49.1
Bachelor's degree or higher,1,9,2020-06-25,2020-06-30,46.8,45.9,47.7
Alabama,1,9,2020-06-25,2020-06-30,44.5,39.9,49.2
Alaska,1,9,2020-06-25,2020-06-30,48.4,43.9,52.9
Arizona,1,9,2020-06-25,2020-06-30,50.6,46.6,54.5
Arkansas,1,9,2020-06-25,2020-06-30,48.8,43.3,54.3
California,1,9,2020-06-25,2020-06-30,46.3,43.5,49.1
Colorado,1,9,2020-06-25,2020-06-30,47.5,42.2,52.9
Connecticut,1,9,2020-06-25,2020-06-30,44.0,39.9,48.2
Delaware,1,9,2020-06-25,2020-06-30,48.4,42.4,54.5
District of Columbia,1,9,2020-06-25,2020-06-30,43.4,37.7,49.3
Florida,1,9,2020-06-25,2020-06-30,45.4,41.7,49.2
Georgia,1,9,2020-06-25,2020-06-30,46.5,41.8,51.3
Hawaii,1,9,2020-06-25,2020-06-30,43.5,37.1,50.1
Idaho,1,9,2020-06-25,2020-06-30,39.9,35.7,44.3
Illinois,1,9,2020-06-25,2020-06-30,49.9,45.0,54.8
Indiana,1,9,2020-06-25,2020-06-30,46.3,41.0,51.6
Iowa,1,9,2020-06-25,2020-06-30,38.5,33.9,43.3
Kansas,1,9,2020-06-25,2020-06-30,40.2,35.4,45.1
Kentucky,1,9,2020-06-25,2020-06-30,47.4,41.5,53.3
Louisiana,1,9,2020-06-25,2020-06-30,45.2,40.3,50.1
Maine,1,9,2020-06-25,2020-06-30,49.5,43.6,55.5
Maryland,1,9,2020-06-25,2020-06-30,44.6,39.9,49.3
Massachusetts,1,9,2020-06-25,2020-06-30,44.1,40.1,48.2
Michigan,1,9,2020-06-25,2020-06-30,48.9,44.6,53.2
Minnesota,1,9,2020-06-25,2020-06-30,48.6,43.0,54.2
Mississippi,1,9,2020-06-25,2020-06-30,51.6,45.3,57.8
Missouri,1,9,2020-06-25,2020-06-30,45.3,41.6,49.1
Montana,1,9,2020-06-25,2020-06-30,38.2,33.4,43.3
Nebraska,1,9,2020-06-25,2020-06-30,40.3,36.0,44.7
Nevada,1,9,2020-06-25,2020-06-30,49.1,43.6,54.6
New Hampshire,1,9,2020-06-25,2020-06-30,45.9,40.7,51.2
New Jersey,1,9,2020-06-25,2020-06-30,51.9,46.8,56.9
New Mexico,1,9,2020-06-25,2020-06-30,53.7,49.1,58.3
New York,1,9,2020-06-25,2020-06-30,44.8,40.6,49.1
North Carolina,1,9,2020-06-25,2020-06-30,40.9,36.5,45.4
North Dakota,1,9,2020-06-25,2020-06-30,38.6,32.6,44.8
Ohio,1,9,2020-06-25,2020-06-30,43.8,40.4,47.3
Oklahoma,1,9,2020-06-25,2020-06-30,45.4,39.7,51.2
Oregon,1,9,2020-06-25,2020-06-30,46.3,41.7,51.0
Pennsylvania,1,9,2020-06-25,2020-06-30,44.6,39.9,49.3
Rhode Island,1,9,2020-06-25,2020-06-30,39.8,34.9,44.9
South Carolina,1,9,2020-06-25,2020-06-30,47.0,41.8,52.3
South Dakota,1,9,2020-06-25,2020-06-30,38.8,32.6,45.3
Tennessee,1,9,2020-06-25,2020-06-30,45.9,39.4,52.5
Texas,1,9,2020-06-25,2020-06-30,42.5,38.7,46.4
Utah,1,9,2020-06-25,2020-06-30,43.2,39.1,47.4
Vermont,1,9,2020-06-25,2020-06-30,47.1,40.1,54.2
Virginia,1,9,2020-06-25,2020-06-30,42.3,38.4,46.3
Washington,1,9,2020-06-25,2020-06-30,49.9,46.0,53.7
West Virginia,1,9,2020-06-25,2020-06-30,48.7,42.5,55.0
Wisconsin,1,9,2020-06-25,2020-06-30,44.2,38.7,49.7
Wyoming,1,9,2020-06-25,2020-06-30,37.1,31.1,43.4
United States,1,10,2020-07-02,2020-07-07,44.5,43.6,45.3
18 - 29 years,1,10,2020-07-02,2020-07-07,39.3,37.0,41.6
30 - 39 years,1,10,2020-07-02,2020-07-07,47.3,45.6,49.1
40 - 49 years,1,10,2020-07-02,2020-07-07,47.5,45.8,49.2
50 - 59 years,1,10,2020-07-02,2020-07-07,47.6,45.5,49.8
60 - 69 years,1,10,2020-07-02,2020-07-07,44.7,42.6,46.7
70 - 79 years,1,10,2020-07-02,2020-07-07,38.7,35.8,41.6
80 years and above,1,10,2020-07-02,2020-07-07,37.2,31.5,43.1
Male,1,10,2020-07-02,2020-07-07,40.2,39.1,41.3
Female,1,10,2020-07-02,2020-07-07,48.4,47.3,49.5
Hispanic or Latino,1,10,2020-07-02,2020-07-07,42.4,40.3,44.5
"Non-Hispanic White, single race",1,10,2020-07-02,2020-07-07,45.2,44.2,46.1
"Non-Hispanic Black, single race",1,10,2020-07-02,2020-07-07,44.6,42.4,46.8
"Non-Hispanic Asian, single race",1,10,2020-07-02,2020-07-07,37.8,34.4,41.3
"Non-Hispanic, other races and multiple races",1,10,2020-07-02,2020-07-07,49.4,45.2,53.7
Less than a high school diploma,1,10,2020-07-02,2020-07-07,41.2,36.8,45.6
High school diploma or GED,1,10,2020-07-02,2020-07-07,39.6,38.1,41.1
Some college/Associate's degree,1,10,2020-07-02,2020-07-07,47.7,46.5,48.9
Bachelor's degree or higher,1,10,2020-07-02,2020-07-07,46.8,45.7,47.8
Alabama,1,10,2020-07-02,2020-07-07,42.9,37.6,48.4
Alaska,1,10,2020-07-02,2020-07-07,45.5,40.4,50.7
Arizona,1,10,2020-07-02,2020-07-07,44.7,40.9,48.6
Arkansas,1,10,2020-07-02,2020-07-07,46.6,41.1,52.1
California,1,10,2020-07-02,2020-07-07,43.6,40.5,46.8
Colorado,1,10,2020-07-02,2020-07-07,45.8,41.4,50.3
Connecticut,1,10,2020-07-02,2020-07-07,44.4,40.1,48.7
Delaware,1,10,2020-07-02,2020-07-07,47.1,42.6,51.7
District of Columbia,1,10,2020-07-02,2020-07-07,51.2,42.7,59.6
Florida,1,10,2020-07-02,2020-07-07,41.8,38.6,45.1
Georgia,1,10,2020-07-02,2020-07-07,45.1,41.3,48.9
Hawaii,1,10,2020-07-02,2020-07-07,34.2,29.4,39.2
Idaho,1,10,2020-07-02,2020-07-07,41.2,36.6,45.8
Illinois,1,10,2020-07-02,2020-07-07,41.5,36.9,46.2
Indiana,1,10,2020-07-02,2020-07-07,44.7,39.6,49.9
Iowa,1,10,2020-07-02,2020-07-07,39.0,34.7,43.4
Kansas,1,10,2020-07-02,2020-07-07,41.2,36.5,46.1
Kentucky,1,10,2020-07-02,2020-07-07,44.4,39.2,49.6
Louisiana,1,10,2020-07-02,2020-07-07,42.8,37.2,48.5
Maine,1,10,2020-07-02,2020-07-07,46.4,42.1,50.8
Maryland,1,10,2020-07-02,2020-07-07,50.7,46.8,54.6
Massachusetts,1,10,2020-07-02,2020-07-07,45.4,41.1,49.7
Michigan,1,10,2020-07-02,2020-07-07,47.5,42.9,52.2
Minnesota,1,10,2020-07-02,2020-07-07,40.1,35.1,45.4
Mississippi,1,10,2020-07-02,2020-07-07,43.7,37.8,49.7
Missouri,1,10,2020-07-02,2020-07-07,48.9,44.5,53.4
Montana,1,10,2020-07-02,2020-07-07,39.9,35.6,44.4
Nebraska,1,10,2020-07-02,2020-07-07,37.9,32.6,43.4
Nevada,1,10,2020-07-02,2020-07-07,50.0,45.6,54.4
New Hampshire,1,10,2020-07-02,2020-07-07,38.3,33.8,42.9
New Jersey,1,10,2020-07-02,2020-07-07,48.3,43.6,53.0
New Mexico,1,10,2020-07-02,2020-07-07,50.6,45.7,55.6
New York,1,10,2020-07-02,2020-07-07,46.7,42.8,50.6
North Carolina,1,10,2020-07-02,2020-07-07,44.2,40.2,48.2
North Dakota,1,10,2020-07-02,2020-07-07,42.8,35.7,50.2
Ohio,1,10,2020-07-02,2020-07-07,43.6,38.9,48.5
Oklahoma,1,10,2020-07-02,2020-07-07,42.8,38.0,47.8
Oregon,1,10,2020-07-02,2020-07-07,51.0,47.0,55.0
Pennsylvania,1,10,2020-07-02,2020-07-07,47.6,42.4,52.8
Rhode Island,1,10,2020-07-02,2020-07-07,43.9,38.0,50.0
South Carolina,1,10,2020-07-02,2020-07-07,42.7,38.6,46.9
South Dakota,1,10,2020-07-02,2020-07-07,40.6,33.8,47.6
Tennessee,1,10,2020-07-02,2020-07-07,41.7,37.3,46.3
Texas,1,10,2020-07-02,2020-07-07,42.4,39.0,45.8
Utah,1,10,2020-07-02,2020-07-07,39.0,34.9,43.2
Vermont,1,10,2020-07-02,2020-07-07,50.5,43.5,57.4
Virginia,1,10,2020-07-02,2020-07-07,47.5,43.1,51.8
Washington,1,10,2020-07-02,2020-07-07,48.7,44.4,53.1
West Virginia,1,10,2020-07-02,2020-07-07,41.9,35.7,48.3
Wisconsin,1,10,2020-07-02,2020-07-07,43.5,39.4,47.7
Wyoming,1,10,2020-07-02,2020-07-07,41.7,35.7,47.9
United States,1,11,2020-07-09,2020-07-14,45.1,44.3,45.8
18 - 29 years,1,11,2020-07-09,2020-07-14,41.5,39.3,43.8
30 - 39 years,1,11,2020-07-09,2020-07-14,47.6,45.8,49.3
40 - 49 years,1,11,2020-07-09,2020-07-14,48.6,46.8,50.4
50 - 59 years,1,11,2020-07-09,2020-07-14,49.1,47.3,50.9
60 - 69 years,1,11,2020-07-09,2020-07-14,44.6,42.5,46.7
70 - 79 years,1,11,2020-07-09,2020-07-14,37.0,34.5,39.5
80 years and above,1,11,2020-07-09,2020-07-14,35.3,29.6,41.4
Male,1,11,2020-07-09,2020-07-14,41.3,40.2,42.4
Female,1,11,2020-07-09,2020-07-14,48.6,47.5,49.7
Hispanic or Latino,1,11,2020-07-09,2020-07-14,44.7,42.1,47.4
"Non-Hispanic White, single race",1,11,2020-07-09,2020-07-14,44.4,43.5,45.3
"Non-Hispanic Black, single race",1,11,2020-07-09,2020-07-14,45.0,42.4,47.5
"Non-Hispanic Asian, single race",1,11,2020-07-09,2020-07-14,46.0,42.4,49.6
"Non-Hispanic, other races and multiple races",1,11,2020-07-09,2020-07-14,56.1,53.0,59.3
Less than a high school diploma,1,11,2020-07-09,2020-07-14,41.7,37.7,45.7
High school diploma or GED,1,11,2020-07-09,2020-07-14,39.7,37.9,41.4
Some college/Associate's degree,1,11,2020-07-09,2020-07-14,49.2,48.0,50.5
Bachelor's degree or higher,1,11,2020-07-09,2020-07-14,47.0,45.9,48.0
Alabama,1,11,2020-07-09,2020-07-14,46.5,41.6,51.4
Alaska,1,11,2020-07-09,2020-07-14,51.8,46.3,57.2
Arizona,1,11,2020-07-09,2020-07-14,44.7,40.2,49.4
Arkansas,1,11,2020-07-09,2020-07-14,45.0,40.1,50.0
California,1,11,2020-07-09,2020-07-14,49.8,46.8,52.9
Colorado,1,11,2020-07-09,2020-07-14,44.4,39.6,49.3
Connecticut,1,11,2020-07-09,2020-07-14,45.6,40.2,51.1
Delaware,1,11,2020-07-09,2020-07-14,41.1,36.0,46.4
District of Columbia,1,11,2020-07-09,2020-07-14,43.0,36.5,49.8
Florida,1,11,2020-07-09,2020-07-14,43.2,40.1,46.5
Georgia,1,11,2020-07-09,2020-07-14,44.8,41.1,48.5
Hawaii,1,11,2020-07-09,2020-07-14,41.7,36.1,47.5
Idaho,1,11,2020-07-09,2020-07-14,44.1,38.3,50.1
Illinois,1,11,2020-07-09,2020-07-14,46.2,41.0,51.6
Indiana,1,11,2020-07-09,2020-07-14,44.0,38.8,49.4
Iowa,1,11,2020-07-09,2020-07-14,36.9,32.4,41.6
Kansas,1,11,2020-07-09,2020-07-14,39.5,35.1,44.0
Kentucky,1,11,2020-07-09,2020-07-14,40.8,35.6,46.0
Louisiana,1,11,2020-07-09,2020-07-14,47.2,42.8,51.8
Maine,1,11,2020-07-09,2020-07-14,43.2,37.5,49.0
Maryland,1,11,2020-07-09,2020-07-14,41.3,37.5,45.3
Massachusetts,1,11,2020-07-09,2020-07-14,54.1,49.3,58.8
Michigan,1,11,2020-07-09,2020-07-14,48.7,45.0,52.4
Minnesota,1,11,2020-07-09,2020-07-14,40.2,35.4,45.2
Mississippi,1,11,2020-07-09,2020-07-14,49.5,44.0,55.1
Missouri,1,11,2020-07-09,2020-07-14,41.7,37.6,45.8
Montana,1,11,2020-07-09,2020-07-14,46.5,41.6,51.4
Nebraska,1,11,2020-07-09,2020-07-14,38.9,34.8,43.1
Nevada,1,11,2020-07-09,2020-07-14,44.1,38.9,49.5
New Hampshire,1,11,2020-07-09,2020-07-14,40.8,35.8,46.0
New Jersey,1,11,2020-07-09,2020-07-14,47.5,43.1,51.9
New Mexico,1,11,2020-07-09,2020-07-14,48.7,43.2,54.3
New York,1,11,2020-07-09,2020-07-14,42.2,37.9,46.7
North Carolina,1,11,2020-07-09,2020-07-14,40.6,34.6,46.7
North Dakota,1,11,2020-07-09,2020-07-14,28.1,23.7,32.8
Ohio,1,11,2020-07-09,2020-07-14,45.2,40.6,49.9
Oklahoma,1,11,2020-07-09,2020-07-14,42.8,38.2,47.4
Oregon,1,11,2020-07-09,2020-07-14,49.9,45.6,54.3
Pennsylvania,1,11,2020-07-09,2020-07-14,41.3,36.6,46.1
